73,560
77,3.277775,3.9454833333333337
65,4.027775,4.175502125
67,4.2550475,4.402774625
68,4.48232,4.630047125
67,4.7095925,4.857319625000001
68,4.936865,5.084592125
70,5.1641375,5.311864625
68,5.3914100000000005,5.539137125
70,5.6186825,5.766409625
72,5.845955,5.993682125
70,6.0732275,6.220954625
72,6.3004999999999995,6.448227125000001
73,6.5277725,6.6754996250000005
72,6.755045,6.902772125
74,6.982317500000001,7.130044625
76,7.20959,7.357317125
74,7.4368625,7.584589625
76,7.664135,7.811862125
77,7.8914075,8.039134624999999
76,8.118680000000001,8.266407125
77,8.3459525,8.493679625
79,8.573225,8.720952125
80,8.8004975,8.948224625
79,9.02777,9.175497125
77,9.2550425,9.402769625000001
65,9.482315,9.630042125
67,9.709587500000001,9.857314625
68,9.93686,10.084587125
67,10.164132500000001,10.311859625
68,10.391404999999999,10.539132125
70,10.6186775,10.766404625
68,10.84595,10.993677125000001
70,11.0732225,11.220949625
72,11.300495,11.448222125000001
70,11.5277675,11.675494624999999
72,11.755040000000001,11.902767125
73,11.982312499999999,12.130039625
72,12.209585,12.357312125
74,12.4368575,12.584584625
76,12.66413,12.811857125
74,12.8914025,13.039129625
76,13.118675,13.266402125
77,13.3459475,13.493674625
76,13.573220000000001,13.720947125
77,13.8004925,13.948219625
79,14.027765,14.175492125
80,14.2550375,14.402764625
79,14.48231,14.630037125
77,14.7095825,14.857309625000001
80,14.936855,15.084582125
82,15.1641275,15.311854625
84,15.3914,15.539127125
72,15.6186725,15.766399625
70,15.845945,15.993672125
68,16.0732175,16.220944625
68,16.30049,16.448217125
67,16.5277625,16.675489625
65,16.755035,16.902762125000002
82,16.9823075,17.130034625
80,17.209580000000003,17.357307125
79,17.4368525,17.584579625
82,17.664125,17.811852125
84,17.8913975,18.039124625
85,18.11867,18.266397125
73,18.3459425,18.493669625000003
72,18.573214999999998,18.720942125
70,18.800487500000003,18.948214625
70,19.02776,19.175487125
68,19.2550325,19.402759625
67,19.482305,19.630032125
77,19.7095775,19.857304624999998
76,19.93685,20.084577125000003
74,20.164122499999998,20.311849625
77,20.391395000000003,20.539122125
79,20.6186675,20.766394624999997
80,20.84594,20.993667125
80,21.073212499999997,21.220939625
79,21.300485000000002,21.448212124999998
77,21.5277575,21.675484625000003
77,21.755029999999998,21.902757125
76,21.982302500000003,22.130029625
74,22.209575,22.357302124999997
76,22.4368475,22.584574625000002
74,22.664119999999997,22.811847125
72,22.891392500000002,23.039119624999998
76,23.118665,23.266392125000003
79,23.345937499999998,23.493664625
84,23.573210000000003,23.720937125
83,23.8004825,23.948209624999997
82,24.027755,24.175482125000002
81,24.255027499999997,24.402754625
80,24.482300000000002,24.630027124999998
79,24.7095725,24.857299625000003
78,24.936844999999998,25.084572125
77,25.164117500000003,25.831825833333337
65,25.914117500000003,26.061844625000003
